Log file created at: 2024-07-29 13:40:43 929 139602401347712
2024-07-29 13:53:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:54:25 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:54:25 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:55:15 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:55:21 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:22 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:43 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:43 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:51 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:51 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:56:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:57:02 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:57:04 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:57:55 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:57:57 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:57:57 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:01 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:14 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:14 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:14 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
